Time (s),Photometer (mg/L)
148.006,20.07339287
149.0073,20.06334305
150.0067,19.79056931
151.008,19.73600006
152.0074,19.63275528
153.0067,19.20288086
154.0081,19.47913933
155.0074,19.23690414
156.0068,19.17043114
157.0061,19.70352173
158.0075,19.25779343
159.0068,19.62623405
160.0082,19.55193901
161.0075,19.12138176
162.0069,19.19840622
163.0062,19.13029289
164.0075,19.11634827
165.0069,18.92510986
166.0062,18.96627998
167.0076,18.83726692
168.0069,19.22755623
169.0083,19.08296776
170.0076,18.55218887
171.007,18.859375
172.0083,19.20129585
173.0076,18.92601013
174.0065,18.34363365
175.0071,17.94445038
176.0064,18.17479706
177.0078,17.82048035
178.0071,18.19531822
179.0065,18.48812485
180.0078,18.15054131
181.0071,17.74503326
182.0065,17.89698219
183.0079,18.21522522
184.0072,18.20780563
185.0066,18.14364815
186.0079,18.1703949
187.0092,18.14687347
188.0066,18.60577965
189.0079,18.79597473
190.0073,18.45374489
191.0086,18.65315056
192.008,18.04972839
193.0073,18.13054466
194.0067,17.72184944
195.008,17.71568871
196.0074,17.53437042
197.0087,17.43454933
198.0081,17.338274
199.0094,17.5411644
200.0087,17.67126846
201.0081,17.72301102
202.0075,17.5484848
203.0068,16.99755287
204.0081,17.28715897
205.0095,17.22057533
206.0068,17.32161522
207.0082,17.41758537
208.0075,17.49834442
209.0069,17.26900291
210.0082,16.97010231
211.0076,16.75499725
212.0069,16.69083977
213.0082,16.69783974
214.0076,16.87216187
215.0089,16.9774189
216.0083,16.7535286
217.0076,16.83548927
218.007,17.18873215
219.0084,17.00679588
220.0077,16.52421379
221.007,16.80718803
222.0084,16.6315937
223.0077,16.45412254
224.0091,16.6210289
225.0084,16.66557693
226.0097,16.54787254
227.0091,16.31464386
228.0085,16.25744438
229.0098,16.57901573
230.0071,16.50716019
231.0085,16.34108734
232.0078,16.36422539
233.0112,16.6177063
234.0086,16.35814667
235.0099,16.08985138
236.0092,16.19008827
237.0086,16.24259949
238.0079,16.21565819
239.0093,15.95841217
240.0086,15.79582691
241.008,15.59349346
242.0093,16.05647469
243.0087,16.12081528
244.008,15.98209381
245.0093,16.09641647
246.0087,16.11250496
247.0081,15.88167763
248.0094,15.57546997
249.0087,15.78627872
250.0081,15.890975
251.0094,16.0285244
252.0088,15.93097878
253.0081,15.80774879
254.0095,15.73397255
255.0088,15.49390888
256.0102,15.43698883
257.0095,15.67047501
258.0089,15.4179678
259.0102,15.24513626
260.0095,15.27482796
261.0089,15.26729584
262.0082,15.42882061
263.0096,15.63439178
264.009,15.46683979
